dataset,index,layer,learning_rate,optimizer,token_length,match,inversion_time,timesteps
random_sentences_dataset.csv,0,1,1.0,SGD,10,True,141.41974520683289,2_3_8194_7925_4_4_2_2_2_3
random_sentences_dataset.csv,1,1,1.0,SGD,10,True,0.23438763618469238,3_3_2_3_3_2_2_2_2_2_3
random_sentences_dataset.csv,2,1,1.0,SGD,10,True,142.4370038509369,3_3_16228_2_2_4_2_2_3_2
random_sentences_dataset.csv,3,1,1.0,SGD,10,True,0.29493165016174316,2_5_3_3_3_6_3_4_2_3
random_sentences_dataset.csv,4,1,1.0,SGD,10,True,190.01820731163025,3_7_14993_6490_4_3_2_7_2_5
random_sentences_dataset.csv,5,1,1.0,SGD,10,True,94.13669776916504,3_3_3_10631_2_2_2_2_4_4
random_sentences_dataset.csv,6,1,1.0,SGD,10,True,257.2748465538025,9359_3_8458_11312_2_3_2_2_2_2
random_sentences_dataset.csv,7,1,1.0,SGD,10,True,66.90956091880798,3_3_4_4_2_3_2_2_2_2_7460_6
random_sentences_dataset.csv,8,1,1.0,SGD,10,True,0.2647390365600586,2_2_3_5_4_2_4_2_3_3
random_sentences_dataset.csv,9,1,1.0,SGD,10,True,213.74792623519897,6927_2_9731_7806_2_5_2_2_4_2
random_sentences_dataset.csv,0,2,1.0,SGD,10,True,200.64196872711182,3_6_11870_9221_5_8_3_3_2_5
random_sentences_dataset.csv,1,2,1.0,SGD,10,True,0.4665093421936035,7_6_4_4_5_2_3_2_3_2_11
random_sentences_dataset.csv,2,2,1.0,SGD,10,True,216.49455332756042,5_4_22764_7_2_2_3_3_5_2
random_sentences_dataset.csv,3,2,1.0,SGD,10,True,0.623011589050293,4_10_3_6_6_13_7_7_3_7
random_sentences_dataset.csv,4,2,1.0,SGD,10,True,222.8919379711151,4_24_16371_7147_11_2_2_11_2_11
random_sentences_dataset.csv,5,2,1.0,SGD,10,True,103.30961322784424,7_4_6_10907_2_2_4_2_10_9
random_sentences_dataset.csv,6,2,1.0,SGD,10,True,433.28889632225037,26604_6_10188_9161_2_4_2_5_2_2
random_sentences_dataset.csv,7,2,1.0,SGD,10,True,79.50941443443298,4_13_15_5_2_4_4_2_3_3_8236_10
random_sentences_dataset.csv,8,2,1.0,SGD,10,True,0.4864988327026367,2_2_6_12_5_3_5_4_7_5
random_sentences_dataset.csv,9,2,1.0,SGD,10,True,436.4143376350403,20883_4_15703_9634_2_9_4_2_5_4
random_sentences_dataset.csv,0,3,1.0,SGD,10,True,246.9466633796692,3_8_16389_7947_4_14_4_5_3_7
random_sentences_dataset.csv,1,3,1.0,SGD,10,True,0.7637827396392822,11_6_7_8_6_3_3_3_6_4_18
random_sentences_dataset.csv,2,3,1.0,SGD,10,True,198.9811725616455,12_4_19418_9_3_2_4_4_8_3
random_sentences_dataset.csv,3,3,1.0,SGD,10,True,1.0887207984924316,5_15_5_10_8_15_11_23_6_9
random_sentences_dataset.csv,4,3,1.0,SGD,10,True,228.70817112922668,6_35_13392_8918_15_3_3_22_2_15
random_sentences_dataset.csv,5,3,1.0,SGD,10,True,90.61612319946289,10_7_8_8821_4_2_7_3_18_17
random_sentences_dataset.csv,6,3,1.0,SGD,10,True,393.8422830104828,23228_12_10163_6464_3_7_4_6_3_2
random_sentences_dataset.csv,7,3,1.0,SGD,10,True,57.22318768501282,5_19_29_11_3_7_3_3_3_5_5602_19
random_sentences_dataset.csv,8,3,1.0,SGD,10,True,0.7230522632598877,2_3_9_19_6_4_7_5_9_9
random_sentences_dataset.csv,9,3,1.0,SGD,10,True,465.195729970932,18580_5_16735_11162_2_14_4_2_9_7
random_sentences_dataset.csv,0,4,1.0,SGD,10,True,147.88027954101562,4_13_8682_4948_10_19_8_7_4_12
random_sentences_dataset.csv,1,4,1.0,SGD,10,True,1.248927354812622,16_11_9_11_8_5_4_5_8_6_33
random_sentences_dataset.csv,2,4,1.0,SGD,10,True,163.42820405960083,18_6_15064_27_3_3_7_8_12_3
random_sentences_dataset.csv,3,4,1.0,SGD,10,True,2.05385684967041,12_26_10_16_12_32_18_39_8_19
random_sentences_dataset.csv,4,4,1.0,SGD,10,True,212.4965627193451,10_65_11266_8319_22_4_5_45_3_32
random_sentences_dataset.csv,5,4,1.0,SGD,10,True,59.11085605621338,17_12_14_5423_7_3_11_3_38_38
random_sentences_dataset.csv,6,4,1.0,SGD,10,True,226.02660942077637,11574_22_9641_192_8_12_5_14_3_2
random_sentences_dataset.csv,7,4,1.0,SGD,10,True,39.719672441482544,11_35_63_20_3_11_5_4_5_8_3498_45
random_sentences_dataset.csv,8,4,1.0,SGD,10,True,1.5306987762451172,4_5_17_53_11_6_16_9_10_13
random_sentences_dataset.csv,9,4,1.0,SGD,10,True,229.70082902908325,97_9_12753_8486_3_21_5_3_13_9
random_sentences_dataset.csv,0,5,1.0,SGD,10,True,178.31660175323486,6_16_10277_5335_12_29_12_5_5_18
random_sentences_dataset.csv,1,5,1.0,SGD,10,True,2.0191643238067627,22_16_16_18_14_7_5_7_11_9_53
random_sentences_dataset.csv,2,5,1.0,SGD,10,True,183.51389145851135,34_6_15936_36_4_4_12_9_19_4
random_sentences_dataset.csv,3,5,1.0,SGD,10,True,3.0278964042663574,20_46_11_20_14_42_31_49_7_27
random_sentences_dataset.csv,4,5,1.0,SGD,10,True,278.6261396408081,17_106_15320_8863_32_4_6_58_4_43
random_sentences_dataset.csv,5,5,1.0,SGD,10,True,96.62496662139893,24_24_24_8157_11_3_13_4_71_83
random_sentences_dataset.csv,6,5,1.0,SGD,10,True,272.7179479598999,7833_36_12438_3914_8_15_6_34_5_3
random_sentences_dataset.csv,7,5,1.0,SGD,10,True,5.48939323425293,13_41_76_28_6_15_6_5_5_14_194_77
random_sentences_dataset.csv,8,5,1.0,SGD,10,True,2.41642427444458,4_7_27_90_14_10_20_10_13_17
random_sentences_dataset.csv,9,5,1.0,SGD,10,True,246.0068769454956,170_15_11650_9437_5_53_7_4_19_14
random_sentences_dataset.csv,0,6,1.0,SGD,10,True,14.565273523330688,6_29_633_419_20_30_14_8_7_30
random_sentences_dataset.csv,1,6,1.0,SGD,10,True,3.2542989253997803,31_35_25_24_19_10_6_10_22_11_79
random_sentences_dataset.csv,2,6,1.0,SGD,10,True,184.1531364917755,38_8_14955_64_6_4_18_13_28_4
random_sentences_dataset.csv,3,6,1.0,SGD,10,True,4.529417037963867,24_72_14_28_19_61_46_59_8_40
random_sentences_dataset.csv,4,6,1.0,SGD,10,True,297.48557925224304,17_148_13590_10201_51_5_8_92_4_68
random_sentences_dataset.csv,5,6,1.0,SGD,10,True,91.85711193084717,34_27_34_7088_14_5_18_5_158_100
random_sentences_dataset.csv,6,6,1.0,SGD,10,True,347.4629180431366,7946_43_12574_8028_10_20_8_31_4_4
random_sentences_dataset.csv,7,6,1.0,SGD,10,True,8.567297220230103,13_62_110_38_8_16_8_6_7_24_341_64
random_sentences_dataset.csv,8,6,1.0,SGD,10,True,3.8539633750915527,4_11_33_166_15_13_27_11_17_19
random_sentences_dataset.csv,9,6,1.0,SGD,10,True,279.6355810165405,120_17_12396_10201_6_67_9_5_32_21
